decile,total_customer,exposure_min,exposure_max,npl_active_pct_exposure,npl_active_pct_installment,ever_npl_12m_pct_exposure,ever_npl_12m_pct_installment
1,59,0.0,0.0,3.4,0.0,20.3,15.3
2,59,0.0,0.0,5.1,5.1,18.6,15.3
3,58,0.0,282250.24,5.2,6.9,20.7,19.0
4,59,282661.72,1655064.82,1.7,1.7,18.6,11.9
5,59,1698853.89,3578865.54,6.8,3.4,10.2,11.9
6,58,3623079.53,7080922.39,0.0,5.2,6.9,13.8
7,59,7122441.54,13130649.0,3.4,5.1,11.9,16.9
8,58,13262099.2,26080542.88,1.7,1.7,13.8,15.5
9,59,26414429.0,67429784.94,3.4,3.4,10.2,11.9
10,59,67639178.02,888338421.0,3.4,1.7,8.5,8.5
