report_month,ym,month_label,customer_reported,facility_reported,customer_npl,customer_npl_pct,facility_npl,facility_npl_pct,facility_dpk,facility_dpk_pct,avg_dpd_days
2021-11-01,202111,Nov-21,463,2340,45,9.72,129,5.51,30,1.28,26.9
2021-12-01,202112,Dec-21,466,2452,44,9.44,109,4.45,36,1.47,24.0
2022-01-01,202201,Jan-22,475,2629,46,9.68,109,4.15,39,1.48,22.5
2022-02-01,202202,Feb-22,483,2628,45,9.32,104,3.96,57,2.17,21.6
2022-03-01,202203,Mar-22,484,2811,44,9.09,97,3.45,45,1.6,19.5
2022-04-01,202204,Apr-22,493,3027,50,10.14,115,3.8,66,2.18,20.6
2022-05-01,202205,May-22,493,2994,54,10.95,118,3.94,34,1.14,20.8
2022-06-01,202206,Jun-22,499,3129,52,10.42,113,3.61,45,1.44,20.4
2022-07-01,202207,Jul-22,504,3112,53,10.52,111,3.57,74,2.38,21.1
2022-08-01,202208,Aug-22,510,2702,54,10.59,108,4.0,46,1.7,23.5
2022-09-01,202209,Sep-22,518,2306,51,9.85,100,4.34,103,4.47,26.3
2022-10-01,202210,Oct-22,523,1886,50,9.56,102,5.41,119,6.31,32.6
2022-11-01,202211,Nov-22,527,1774,52,9.87,106,5.98,34,1.92,36.1
2022-12-01,202212,Dec-22,531,1969,54,10.17,110,5.59,75,3.81,34.4
2023-01-01,202301,Jan-23,532,1985,57,10.71,115,5.79,74,3.73,35.1
2023-02-01,202302,Feb-23,535,2026,60,11.21,122,6.02,95,4.69,36.1
2023-03-01,202303,Mar-23,540,2054,59,10.93,123,5.99,88,4.28,36.6
2023-04-01,202304,Apr-23,546,2024,64,11.72,149,7.36,59,2.92,38.7
2023-05-01,202305,May-23,548,2114,62,11.31,157,7.43,76,3.6,37.7
2023-06-01,202306,Jun-23,551,2113,64,11.62,159,7.52,93,4.4,38.3
2023-07-01,202307,Jul-23,557,2156,65,11.67,165,7.65,115,5.33,41.2
2023-08-01,202308,Aug-23,564,2225,65,11.52,163,7.33,111,4.99,40.8
2023-09-01,202309,Sep-23,572,2259,71,12.41,186,8.23,126,5.58,42.2
2023-10-01,202310,Oct-23,455,1484,53,11.65,162,10.92,47,3.17,51.8
